date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:19	84697/84697	---M--	200	added ('OK')	text/html	etag:%2214ad9-4fff4305d286d%22	http://www.cliptheme.com/preview/admin/clip-one/ui_elements.html	C:/My%20Web%20Sites/Clipper/www.cliptheme.com/preview/admin/clip-one/ui_elements.html	(from )
18:24:20	208/208	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Oct%202014%2023:24:18%20GMT	http://www.cliptheme.com/robots.txt		(from )
18:24:21	109518/109518	---M--	200	added ('OK')	text/css	etag:%221abce-4ff56816a6e79%22	http://www.cliptheme.com/preview/admin/clip-one/assets/plugins/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Clipper/www.cliptheme.com/preview/admin/clip-one/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://www.cliptheme.com/preview/admin/clip-one/ui_elements.html)
18:24:23	20766/20766	---M--	200	added ('OK')	text/css	etag:%22511e-4ff5684392df2%22	http://www.cliptheme.com/preview/admin/clip-one/assets/plugins/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/Clipper/www.cliptheme.com/preview/admin/clip-one/assets/plugins/font-awesome/css/font-awesome.min.css	(from http://www.cliptheme.com/preview/admin/clip-one/ui_elements.html)
18:24:23	24921/24921	---M--	200	added ('OK')	text/css	etag:%226159-4f1c5b1646c41%22	http://www.cliptheme.com/preview/admin/clip-one/assets/fonts/style.css	C:/My%20Web%20Sites/Clipper/www.cliptheme.com/preview/admin/clip-one/assets/fonts/style.css	(from http://www.cliptheme.com/preview/admin/clip-one/ui_elements.html)
18:24:25	123989/123989	---M--	200	added ('OK')	text/css	etag:%221e455-4fff42e16c9e1%22	http://www.cliptheme.com/preview/admin/clip-one/assets/css/main.css	C:/My%20Web%20Sites/Clipper/www.cliptheme.com/preview/admin/clip-one/assets/css/main.css	(from http://www.cliptheme.com/preview/admin/clip-one/ui_elements.html)
18:24:26	11631/11631	---M--	200	added ('OK')	text/css	etag:%222d6f-4fff42e070634%22	http://www.cliptheme.com/preview/admin/clip-one/assets/css/main-responsive.css	C:/My%20Web%20Sites/Clipper/www.cliptheme.com/preview/admin/clip-one/assets/css/main-responsive.css	(from http://www.cliptheme.com/preview/admin/clip-one/ui_elements.html)
18:24:26	1568/1568	---M--	200	added ('OK')	text/css	etag:%22620-4f1c5face7e92%22	http://www.cliptheme.com/preview/admin/clip-one/assets/plugins/iCheck/skins/all.css	C:/My%20Web%20Sites/Clipper/www.cliptheme.com/preview/admin/clip-one/assets/plugins/iCheck/skins/all.css	(from http://www.cliptheme.com/preview/admin/clip-one/ui_elements.html)
18:24:26	376/376	---M--	200	added ('OK')	text/css	etag:%22178-4f1c5e7fccd3b%22	http://www.cliptheme.com/preview/admin/clip-one/assets/plugins/bootstrap-colorpalette/css/bootstrap-colorpalette.css	C:/My%20Web%20Sites/Clipper/www.cliptheme.com/preview/admin/clip-one/assets/plugins/bootstrap-colorpalette/css/bootstrap-colorpalette.css	(from http://www.cliptheme.com/preview/admin/clip-one/ui_elements.html)
18:24:27	3812/3812	---M--	200	added ('OK')	text/css	etag:%22ee4-4fff42bd694b1%22	http://www.cliptheme.com/preview/admin/clip-one/assets/plugins/perfect-scrollbar/src/perfect-scrollbar.css	C:/My%20Web%20Sites/Clipper/www.cliptheme.com/preview/admin/clip-one/assets/plugins/perfect-scrollbar/src/perfect-scrollbar.css	(from http://www.cliptheme.com/preview/admin/clip-one/ui_elements.html)
